,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
,1550142,12873895,3380404,2691706,1463770,2475231,1502227,3470653,9857426,280100,1165132,2948542,1896424,1854607,657083,2116770,1594432
1,11,14,0,0,40,27,10,0,4,0,0,0,0,0,67,33,0
2,0,14,0,0,40,9,0,0,4,0,0,0,0,0,0,0,0
3,0,11,13,60,20,0,0,9,4,0,20,0,0,0,17,0,0
4,0,4,13,0,0,0,10,9,15,0,0,45,0,20,0,0,0
5,0,0,13,0,0,18,0,0,12,0,0,9,0,0,0,0,14
6,0,0,0,20,40,9,0,0,12,0,40,9,0,0,0,0,0
7,11,14,13,20,0,9,0,45,19,0,0,18,0,0,0,0,14
8,0,11,0,20,0,9,0,27,12,0,0,45,0,0,0,0,0
9,0,0,13,0,0,0,0,18,0,0,0,9,0,0,0,0,14
10,0,18,0,0,20,0,0,9,4,0,0,0,0,10,0,0,14
11,11,7,13,0,60,0,0,0,4,0,0,0,0,10,0,0,0
12,0,14,13,20,0,9,0,0,19,0,0,9,0,10,0,17,0
13,0,11,0,20,20,0,0,9,8,0,20,0,20,30,17,50,0
14,11,14,0,0,0,9,0,0,38,0,20,27,0,0,0,0,0
15,0,11,13,0,0,0,20,9,8,0,0,9,0,0,0,0,0
16,0,18,0,60,0,0,10,0,0,0,0,27,0,0,0,0,0
17,0,14,0,0,0,0,0,27,8,0,0,0,0,0,0,0,0
18,0,21,13,0,0,9,0,18,38,0,0,18,0,10,0,0,14
19,0,14,0,0,20,18,0,0,8,0,40,9,0,0,0,0,0
20,11,21,0,20,0,0,0,18,31,0,0,0,0,10,0,0,0
21,11,25,0,0,0,9,0,9,4,0,0,9,0,20,0,0,0
22,11,14,0,0,40,0,0,0,12,0,0,27,0,0,17,0,0
23,0,21,25,20,0,27,0,36,15,0,0,0,0,0,0,33,0
24,0,7,38,0,20,0,0,18,12,0,0,0,0,0,0,0,0
25,22,11,0,0,0,0,0,18,8,0,0,0,0,0,0,33,14
26,0,25,13,0,0,18,0,9,31,0,0,9,0,10,0,0,29
27,0,7,13,40,40,9,0,9,23,0,0,9,0,30,0,17,14
28,11,14,25,20,60,0,0,9,38,0,0,0,0,10,33,0,0
29,0,14,0,0,20,9,0,9,8,0,0,0,0,20,0,0,14
30,0,21,13,0,0,9,10,0,12,0,20,9,20,20,0,0,0
31,0,18,50,20,0,9,0,9,8,0,0,0,40,10,17,0,0
32,11,25,38,0,0,9,10,27,38,0,0,45,0,10,0,17,29
33,0,25,0,20,0,27,10,27,27,0,0,9,0,10,0,33,57
34,22,14,63,40,0,0,0,18,31,0,0,18,0,0,0,0,14
35,0,21,13,40,20,27,10,9,19,0,0,18,0,0,0,0,0
36,33,18,63,20,0,18,30,0,4,0,0,0,20,0,0,0,0
37,0,11,0,0,0,0,0,0,19,0,0,9,20,0,0,33,0
38,0,18,0,0,0,0,10,18,12,0,0,27,0,20,0,0,0
39,0,14,13,0,20,9,10,0,23,0,0,0,20,0,0,0,29
40,0,61,0,20,0,27,10,27,23,0,0,27,20,40,17,17,0
41,11,75,0,20,40,0,20,27,69,0,20,9,0,0,67,0,29
42,33,29,50,40,0,9,10,27,62,0,0,0,0,20,33,0,0
43,11,32,0,20,0,0,20,0,23,0,0,9,0,0,0,0,0
44,0,11,13,40,0,0,70,82,19,0,0,18,40,10,0,50,14
45,22,21,38,20,0,0,0,27,23,0,20,9,0,20,0,33,0
46,0,36,38,20,20,18,0,9,50,0,0,27,0,0,0,0,0
47,11,29,13,40,20,9,0,18,46,0,20,36,0,0,17,0,14
48,0,61,13,20,40,9,20,18,31,0,0,18,0,0,0,33,29
49,0,21,50,20,20,18,10,18,27,0,0,45,20,0,17,33,29
50,11,11,0,60,40,27,10,18,46,0,0,0,0,20,0,0,14
51,11,54,63,0,0,9,30,9,35,0,20,27,40,20,33,0,0
52,0,39,0,0,20,18,20,18,42,0,20,27,40,10,0,17,0
53,0,46,13,0,40,0,10,27,27,0,40,0,0,20,33,0,29
54,0,21,25,40,0,9,10,18,31,0,0,36,0,10,0,0,29
55,11,43,25,20,20,18,0,9,19,0,0,27,0,30,0,33,0
56,11,36,38,20,20,18,10,27,42,33,40,9,20,20,0,67,0
57,0,36,25,20,20,36,0,9,54,0,0,27,0,10,17,17,29
58,0,39,13,20,20,18,0,18,31,0,0,45,20,0,0,0,29
59,0,36,13,0,0,9,10,9,50,0,20,18,0,20,0,17,29
60,0,39,50,20,20,18,0,36,77,0,0,18,20,20,0,33,29
61,0,64,13,20,0,73,20,0,65,0,0,18,20,20,0,33,14
62,11,36,88,0,20,9,0,18,46,33,0,9,0,30,0,50,14
63,22,39,63,20,0,0,0,27,54,67,20,18,0,20,0,17,14
64,22,57,25,0,0,18,10,9,62,0,20,27,20,10,0,33,29
65,11,61,50,20,0,55,0,27,65,0,0,73,60,0,0,83,29
66,22,36,88,20,100,9,0,36,46,0,40,27,60,0,0,0,0
67,22,39,13,60,0,18,0,27,69,33,60,0,20,10,17,67,0
68,0,61,50,100,20,9,10,9,77,0,0,27,0,10,17,0,29
69,0,32,13,60,20,27,40,45,62,100,40,64,40,0,17,33,29
70,33,79,38,40,0,9,30,55,62,0,40,64,60,10,33,17,57
71,11,64,25,0,40,18,10,27,46,0,0,9,0,10,33,17,100
72,0,64,25,40,40,0,20,27,42,0,0,9,20,50,0,0,0
73,56,79,25,60,40,27,20,100,100,0,80,36,60,20,83,33,57
74,0,39,38,100,20,64,20,27,81,0,0,0,40,70,0,50,29
75,22,46,50,80,0,27,10,36,50,0,20,18,60,10,0,17,100
76,11,39,13,60,20,18,10,36,62,33,20,27,40,30,0,17,0
77,22,68,0,0,40,0,30,9,35,0,20,18,100,50,0,83,0
78,11,75,25,40,40,9,10,18,46,33,0,18,20,20,0,50,71
79,0,61,13,40,20,45,10,18,31,0,80,18,20,50,0,17,0
80,22,43,50,80,40,0,10,18,73,0,60,18,20,0,0,33,0
81,0,75,38,60,0,9,10,27,42,0,0,27,20,10,0,0,29
82,33,68,63,100,20,18,10,27,92,0,20,36,20,0,33,33,57
83,22,82,100,80,60,18,20,36,62,0,0,45,100,0,100,100,57
84,0,64,38,40,80,0,10,27,96,0,40,9,80,0,17,33,0
85,100,82,63,20,40,0,50,27,81,0,20,100,20,20,33,100,14
86,44,50,75,40,60,100,30,9,54,33,20,27,20,10,0,67,14
87,22,100,63,60,80,9,10,18,50,0,0,36,60,10,0,0,0
88,33,43,75,20,20,9,0,9,38,0,20,36,0,10,17,33,14
89,44,54,0,60,0,45,60,45,19,0,60,18,20,20,0,0,0
90,0,39,38,60,40,0,10,9,23,33,0,36,0,20,0,0,43
91,22,46,50,20,40,9,10,64,62,0,20,9,0,0,17,0,0
92,11,71,50,60,80,27,10,36,46,0,0,27,0,20,0,0,14
93,33,71,63,80,40,73,0,36,62,0,20,18,60,30,0,17,14
94,11,64,13,40,20,27,0,36,12,0,60,55,20,0,0,17,0
95,33,75,75,20,20,0,20,18,46,0,40,45,40,20,0,33,57
96,11,46,38,20,40,9,20,27,42,0,40,18,60,10,0,17,14
97,22,61,50,0,20,9,40,9,46,0,0,45,60,10,0,17,29
98,0,25,13,20,20,18,20,0,15,0,20,9,60,30,0,17,0
99,0,32,25,40,20,18,0,27,69,0,20,0,20,100,0,33,14
100,0,57,50,0,100,0,20,27,42,0,0,18,20,0,0,0,14
101,22,39,13,60,0,18,30,0,69,0,0,18,20,40,0,0,0
102,0,39,38,20,0,9,0,18,62,0,0,64,0,0,0,0,43
103,11,29,0,40,100,27,10,45,54,0,20,0,0,20,0,33,14
104,11,39,25,40,100,27,10,18,35,67,0,18,0,0,0,17,29
105,11,43,25,20,0,9,10,18,23,0,20,27,0,0,50,0,71
106,11,64,0,40,20,0,0,36,38,0,20,0,0,40,17,50,14
107,44,46,13,40,0,9,20,0,12,0,0,9,20,10,0,33,14
108,44,36,0,0,80,0,0,0,19,0,0,18,0,40,0,17,14
109,11,29,0,20,20,0,10,0,31,0,20,27,20,10,0,0,0
110,0,39,13,20,20,9,0,0,46,0,20,36,0,50,0,17,0
111,11,21,13,40,0,9,0,0,19,0,0,36,0,20,0,0,29
112,0,25,13,0,0,9,100,0,38,0,0,0,0,10,17,0,0
113,0,11,0,0,0,0,10,0,19,0,0,0,0,0,0,17,0
114,0,7,0,0,0,9,0,0,8,0,0,0,0,10,0,67,0
115,0,18,13,0,0,9,10,0,15,0,20,9,0,10,17,0,0
116,0,18,0,20,0,9,0,0,4,0,0,9,0,0,0,17,0
117,0,7,0,20,0,9,0,0,19,0,0,0,0,10,0,17,0
118,0,7,63,40,20,18,10,9,0,0,20,0,40,0,0,0,14
119,11,7,13,0,0,0,20,9,35,0,0,0,0,0,33,17,0
120,11,11,0,0,20,55,0,9,19,0,0,18,0,0,0,17,0
121,22,29,38,20,20,0,0,0,19,0,0,45,0,0,0,33,29
122,11,29,0,20,0,18,10,9,54,0,0,9,0,0,0,83,0
123,0,14,38,40,0,18,0,18,19,0,20,9,0,0,0,33,0
124,11,14,25,20,20,0,0,0,31,33,0,18,20,20,33,0,0
125,22,36,0,0,0,0,0,0,23,0,0,0,0,0,17,17,0
126,0,14,13,0,0,18,0,0,19,0,0,0,20,0,17,83,14
127,11,32,25,20,40,36,10,18,19,0,20,27,20,0,0,50,43
128,0,25,0,0,0,9,0,9,19,0,0,18,20,0,0,83,29
129,22,21,25,20,0,36,0,0,46,0,20,18,0,10,0,0,0
130,22,4,0,0,40,0,0,36,23,0,0,27,0,0,50,17,0
131,22,64,0,40,0,18,10,0,15,0,20,9,0,20,17,33,29
132,0,21,50,60,20,0,20,0,15,0,0,27,0,0,0,0,43
133,0,29,13,40,40,18,0,9,35,0,20,9,0,20,0,33,14
134,11,43,25,20,20,9,0,27,19,33,0,18,20,10,0,17,43
135,11,25,13,20,0,9,10,45,23,0,100,27,0,10,17,17,14
